date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
8/9/2016,0,0,0,0,5:56:00
8/9/2016,0,0,0,0,5:56:00
8/9/2016,0.75,0,1,3,5:56:00
7/25/2016,0,0,0,0,12:14:00
7/23/2016,0.142857143,0,1,1,2:48:00
7/23/2016,0.25,0,1,1,2:47:00
7/23/2016,0.333333333,0,1,4,2:45:00
7/23/2016,0.066666667,0,1,1,2:45:00
7/23/2016,1,0,1,4,2:45:00
7/23/2016,0,0,0,0,2:35:00
7/23/2016,0,0,0,0,2:35:00
7/23/2016,0,0,0,0,2:35:00
7/23/2016,0,0,0,0,2:35:00
7/23/2016,0,0,0,0,2:33:00
7/23/2016,0,0,0,0,2:32:00
5/16/2016,0,0,0,0,1:00:00
5/16/2016,0.25,0,1,1,12:56:00
5/16/2016,0,0,0,0,12:56:00
5/13/2016,1.333333333,0,2,4,1:15:00
5/13/2016,0,0,0,0,1:03:00
5/13/2016,0.230769231,0,1,3,1:03:00
5/13/2016,0.117647059,0,1,2,1:01:00
5/13/2016,0,0,0,0,12:59:00
5/13/2016,0,0,0,0,12:59:00
5/13/2016,-0.375,1,1,-3,12:57:00
5/13/2016,-0.111111111,1,0,-2,12:56:00
10/18/2015,0.114942529,3,6,10,4:55:00
10/28/2014,0.272727273,0,1,3,9:36:00
10/24/2014,0,0,0,0,12:11:00
7/28/2014,0.75,0,1,3,12:35:00
7/28/2014,0.111111111,0,1,1,12:34:00
7/28/2014,0,0,0,0,12:34:00
7/28/2014,0,0,0,0,12:33:00
7/28/2014,0.041666667,0,1,1,12:33:00
7/28/2014,0,0,0,0,12:29:00
7/28/2014,0,0,0,0,12:29:00
7/28/2014,0.148148148,0,1,4,12:26:00
7/23/2014,2,0,1,2,7:34:00
7/23/2014,0.333333333,0,2,2,7:34:00
7/23/2014,0,1,1,0,7:30:00
7/23/2014,0.166666667,0,1,1,7:30:00
7/23/2014,0.272727273,0,2,3,7:26:00
7/23/2014,0,0,0,0,7:26:00
7/23/2014,0,0,0,0,7:25:00
7/23/2014,0,0,0,0,7:11:00
12/22/2013,0.5,0,4,7,12:22:00
12/12/2013,1,0,2,6,8:22:00
12/12/2013,0.166666667,0,1,1,8:22:00
12/12/2013,0.090909091,0,1,1,8:16:00
