date,sentiment.comparative,sentiment-negative-count,sentiment-positive-count,sentiment.score,time
1/24/2012,0,0,0,0,9:56:00
1/24/2012,0.571428571,0,1,4,9:56:00
1/24/2012,0,0,0,0,9:56:00
1/24/2012,0,0,0,0,9:56:00
1/24/2012,1,0,1,1,9:56:00
1/24/2012,0,0,0,0,9:56:00
1/24/2012,0,0,0,0,9:55:00
1/24/2012,0.8,0,2,4,9:55:00
1/24/2012,0.6,0,1,3,9:55:00
1/24/2012,0,0,0,0,9:53:00
1/24/2012,0.333333333,0,1,3,9:53:00
1/24/2012,0.666666667,0,1,2,9:53:00
1/24/2012,0.25,0,1,2,9:53:00
1/24/2012,1.5,0,1,3,9:52:00
1/24/2012,0,0,0,0,9:51:00
1/24/2012,0,0,0,0,9:51:00
1/24/2012,0,0,0,0,9:51:00
1/24/2012,0.666666667,0,1,2,9:48:00
1/24/2012,0,0,0,0,9:48:00
1/24/2012,0,0,0,0,9:48:00
1/24/2012,0,0,0,0,9:47:00
1/24/2012,0.142857143,0,2,2,9:47:00
1/24/2012,0,0,0,0,9:47:00
1/24/2012,0,0,0,0,9:46:00
1/24/2012,0,0,0,0,9:46:00
1/24/2012,0.25,0,1,2,9:46:00
1/24/2012,0.071428571,0,1,1,9:46:00
1/24/2012,0,0,0,0,9:45:00
1/24/2012,0.571428571,0,2,4,9:43:00
1/24/2012,1.5,0,1,3,9:42:00
1/24/2012,0.2,0,1,1,9:42:00
1/24/2012,0.5,0,1,1,9:41:00
1/24/2012,0,0,0,0,9:41:00
1/18/2012,0,0,0,0,8:01:00
12/26/2011,2,0,1,2,10:59:00
12/26/2011,0,0,0,0,10:58:00
12/26/2011,2,0,1,4,10:57:00
12/26/2011,0.4,0,3,6,10:57:00
12/26/2011,0,0,0,0,10:55:00
12/26/2011,1.25,0,2,5,10:54:00
12/26/2011,0,0,0,0,10:54:00
12/26/2011,0,0,0,0,10:54:00
12/26/2011,0,0,0,0,10:53:00
12/26/2011,0,0,0,0,10:52:00
12/26/2011,0.3125,0,2,5,10:52:00
12/26/2011,-0.083333333,2,1,-1,10:52:00
12/26/2011,0.208333333,0,3,5,10:48:00
12/22/2011,0.75,0,1,3,7:42:00
12/22/2011,0,0,0,0,5:40:00
12/22/2011,0.75,0,1,3,5:40:00
12/20/2011,0.212121212,0,3,7,10:39:00
12/12/2011,0,0,0,0,9:55:00
12/12/2011,0,0,0,0,9:53:00
11/14/2011,0,0,0,0,12:41:00
11/14/2011,0,0,0,0,12:40:00
11/14/2011,0,0,0,0,12:40:00
11/14/2011,0,0,0,0,12:39:00
11/14/2011,0,0,0,0,12:38:00
10/25/2011,0,0,0,0,5:13:00
10/25/2011,0,0,0,0,5:12:00
10/25/2011,0,0,0,0,5:11:00
10/25/2011,0,0,0,0,5:10:00
10/25/2011,0,0,0,0,5:09:00
10/25/2011,0,0,0,0,5:08:00
10/25/2011,0.428571429,0,1,3,4:59:00
10/25/2011,0.5,0,1,3,12:18:00
10/25/2011,0.230769231,0,6,12,10:28:00
10/7/2011,0,0,0,0,11:21:00
10/7/2011,0,0,0,0,11:20:00
10/7/2011,0.545454545,0,3,6,11:20:00
10/7/2011,0,0,0,0,11:20:00
10/7/2011,0,0,0,0,11:20:00
10/7/2011,0,0,0,0,11:19:00
10/7/2011,0,0,0,0,11:19:00
10/7/2011,0,0,0,0,11:18:00
10/7/2011,0,0,0,0,11:18:00
10/7/2011,0,0,0,0,11:18:00
10/7/2011,0,1,2,0,11:18:00
10/7/2011,-0.111111111,2,0,-2,11:17:00
10/7/2011,-0.214285714,1,0,-3,11:17:00
10/7/2011,1,0,1,1,11:17:00
10/7/2011,0.666666667,0,1,2,11:16:00
10/7/2011,0,0,0,0,11:16:00
10/7/2011,0,0,0,0,11:16:00
10/7/2011,0,0,0,0,11:16:00
10/7/2011,0,0,0,0,11:16:00
10/7/2011,0.8,0,2,4,11:15:00
10/7/2011,3,0,1,3,11:14:00
10/7/2011,0.5,0,1,1,11:14:00
10/7/2011,0,0,0,0,11:14:00
10/7/2011,0,0,0,0,11:14:00
10/7/2011,-1,1,0,-4,11:14:00
10/7/2011,0,0,0,0,11:13:00
