X,Y,OBJECTID,GISID,POSTCODE,DISTRICT,LOCATIE,K_PAAL_NR,PAALTYPE,DETECTIE,DRUKKNOPPEN,SAMENSTELLING,INVENTARISATIE
4.398128198520265,51.206158122265094,136405,VKL_0001,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_01,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 2_VOET,2013-05-01T00:00:00.000Z
4.398222635229017,51.206227242665079,136406,VKL_0002,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_02,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 2_VOET,2013-05-01T00:00:00.000Z
4.398345905652468,51.206280588085022,136407,VKL_0003,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_03,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 2_VOET,2013-05-01T00:00:00.000Z
4.39837968827009,51.206216068503572,136408,VKL_0004,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_04,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 2_VOET,2013-05-01T00:00:00.000Z
4.398403869293282,51.206135651727109,136409,VKL_0005,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_05,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD,2013-05-01T00:00:00.000Z
4.398390207327624,51.206098290293859,136410,VKL_0006,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_06,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 1_GROEN_PIJL_LINKS,2013-05-01T00:00:00.000Z
4.398333102787772,51.206058925684125,136411,VKL_0007,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_07,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET,2013-05-01T00:00:00.000Z
4.398300039581059,51.206039013969452,136412,VKL_0008,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_08,GEWOON,GEEN,GEEN,2_VOET,2013-05-01T00:00:00.000Z
4.398221081854056,51.205993559833232,136413,VKL_0009,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_09,GEWOON,GEEN,GEEN,2_VOET,2013-05-01T00:00:00.000Z
4.398142169209193,51.205982268891873,136414,VKL_0010,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_10,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET,2013-05-01T00:00:00.000Z
4.433315680640703,51.232101751708946,136415,VKL_3647,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_05,GALGPAAL,GEEN,VG_TERUGMELD,3_STANDAARD | 3_STANDAARD | 2_VOET_WACHT,2019-01-09T00:00:00.000Z
4.433338182631061,51.232111234583719,136416,VKL_3648,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_06,GEWOON,GEEN,VG_TERUGMELD,2_VOET,2019-01-09T00:00:00.000Z
4.433386521684633,51.232191980799264,136417,VKL_3649,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_07,GEWOON,GEEN,FIETS_TERUGMELD,3_FIETS,2019-01-09T00:00:00.000Z
4.433424183655989,51.232162601343155,136418,VKL_3650,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_08,GEWOON,GEEN,VG_TERUGMELD,2_VOET,2019-01-09T00:00:00.000Z
4.433709942508879,51.23195284552159,136419,VKL_3651,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_09,GEWOON,GEEN,GEEN,3_PIJLEN_RECHTDOOR,2019-01-09T00:00:00.000Z
4.433607908226271,51.231872900403538,136420,VKL_3652,2060,ANTWERPEN,Slachthuislaan / Kalverstraat,K661_10,GALGPAAL,GEEN,GEEN,3_PIJLEN_LINKS | 3_PIJLEN_LINKS | 3_PIJLEN_RECHTDOOR | 3_PIJLEN_RECHTDOOR,2019-01-09T00:00:00.000Z
4.398094581180392,51.206037595848194,136421,VKL_0011,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_11,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET | 2_VOET,2013-05-01T00:00:00.000Z
4.397393506557338,51.20569815451595,136422,VKL_0012,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_12,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.397505695741605,51.205618225677419,136423,VKL_0013,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_13,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.396890370870247,51.205403532064324,136424,VKL_0014,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_16,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.396686071356446,51.205285407087672,136425,VKL_0015,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_15,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.396812683404442,51.205207332412193,136426,VKL_0016,2018,ANTWERPEN,Paleisstraat / FrancisWellesplein / Sint-Laureisstraat / Bresstraat / uitrit Brandweer,K618_14,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.416508679078081,51.213232602463734,136427,VKL_0017,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_01,GEWOON,GEEN,BLINDEN_PRISMA,2_VOET,2013-05-01T00:00:00.000Z
4.416658765018866,51.213243653236056,136428,VKL_0018,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_02,GEWOON,GEEN,BLINDEN_PRISMA,3_FIETS | 2_VOET,2013-05-01T00:00:00.000Z
4.41672400503075,51.213218326706013,136429,VKL_0019,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_03,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET,2013-05-01T00:00:00.000Z
4.416744798605748,51.21317426951704,136430,VKL_0020,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_04,GEWOON,GEEN,BLINDEN_PRISMA,3_STANDAARD | 2_VOET | 3_FIETS,2013-05-01T00:00:00.000Z
4.416715191329542,51.213130921590952,136431,VKL_0021,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_05,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.416604945907625,51.21312543634226,136432,VKL_0022,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_06,GEWOON,GEEN,GEEN,3_STANDAARD | 3_FIETS | 3_PIJLEN_RECHTS,2013-05-01T00:00:00.000Z
4.416103514304144,51.213078931091374,136433,VKL_0023,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_07,GEWOON,GEEN,GEEN,3_FIETS | 1_ORANJE,2013-05-01T00:00:00.000Z
4.416049770542362,51.213199264657632,136434,VKL_0024,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_08,GEWOON,GEEN,BLINDEN_PRISMA | VG_TERUGMELD,2_VOET,2013-05-01T00:00:00.000Z
4.416027115508211,51.213258266617579,136435,VKL_0025,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_10,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.416152083085392,51.213269542146627,136436,VKL_0026,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_11,GEWOON,GEEN,GEEN,3_STANDAARD,2013-05-01T00:00:00.000Z
4.416167632943272,51.213219202493605,136437,VKL_0027,2018,ANTWERPEN,Quinten Matsijslei / Lange Kievitstraat,K613_09,GEWOON,GEEN,VG_TERUGMELD,3_STANDAARD | 2_VOET | 3_FIETS,2013-05-01T00:00:00.000Z
4.415418587245425,51.214723827205802,136438,VKL_0028,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_01,GEWOON,GEEN,GEEN,1_ORANJE_VOET,2013-05-01T00:00:00.000Z
4.41540953323397,51.214804958419585,136439,VKL_0029,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_02,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET,2013-05-01T00:00:00.000Z
4.415258135743531,51.214872903022801,136440,VKL_0030,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_03,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET | 3_FIETS | 1_ORANJE_VOET,2013-05-01T00:00:00.000Z
4.415243696231485,51.214937267593321,136441,VKL_0031,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_04,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET,2013-05-01T00:00:00.000Z
4.41534828251829,51.215015929211489,136442,VKL_0032,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_05,GEWOON,GEEN,GEEN,3_STANDAARD | 2_VOET | 3_FIETS,2013-05-01T00:00:00.000Z
4.41545025732354,51.215093196780757,136443,VKL_0033,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_06,GEWOON,GEEN,GEEN,2_VOET,2013-05-01T00:00:00.000Z
4.415540665694781,51.215159024864519,136444,VKL_0034,2018,ANTWERPEN,Quellinstraat / Quinten Matsijslei / Rubenslei / Maria Theresialei,K612_07,GEWOON,GEEN,GEEN,3_FIETS | 2_VOET,2013-05-01T00:00:00.000Z
